0,0.38557,0.38825,0.39091,0.39385,0.39658,0.39959,0.40273,0.40632,0.40967,0.41358,0.41721,0.4215,0.42613,0.43123,0.43625,0.44208,0.44852,0.45539,0.46366,0.47362
0.0062578,0.38543,0.38805,0.39063,0.39351,0.39617,0.3991,0.40217,0.40569,0.40896,0.41279,0.41634,0.42055,0.42508,0.43009,0.43503,0.44075,0.44708,0.45384,0.46196,0.47174
0.012516,0.38528,0.38783,0.39034,0.39314,0.39573,0.39859,0.40159,0.40502,0.40821,0.41195,0.41543,0.41955,0.42399,0.42891,0.43374,0.43935,0.44558,0.4522,0.46016,0.46973
0.018773,0.38513,0.3876,0.39004,0.39276,0.39528,0.39805,0.40098,0.40432,0.40742,0.41109,0.41448,0.41851,0.42285,0.42767,0.4324,0.4379,0.444,0.45049,0.45828,0.46762
0.025031,0.38497,0.38736,0.38973,0.39237,0.39481,0.3975,0.40034,0.40359,0.4066,0.41018,0.4135,0.41744,0.42167,0.42639,0.43101,0.43638,0.44236,0.44871,0.45633,0.46544
0.031289,0.3848,0.38711,0.38941,0.39195,0.39433,0.39693,0.39967,0.40284,0.40577,0.40926,0.41248,0.41632,0.42045,0.42505,0.42956,0.43482,0.44066,0.44686,0.45432,0.46319
0.037547,0.38462,0.38685,0.38907,0.39151,0.39382,0.39633,0.39899,0.40207,0.40491,0.4083,0.41142,0.41516,0.41919,0.42368,0.42807,0.4332,0.43891,0.44496,0.45225,0.4609
0.043805,0.38444,0.38658,0.38871,0.39107,0.3933,0.39571,0.39829,0.40127,0.40401,0.40731,0.41034,0.41397,0.41788,0.42226,0.42653,0.43154,0.4371,0.44301,0.45012,0.45855
0.050063,0.38426,0.3863,0.38836,0.39061,0.39275,0.39508,0.39757,0.40045,0.40308,0.40629,0.40923,0.41274,0.41655,0.42081,0.42496,0.42983,0.43525,0.441,0.44795,0.45615
0.05632,0.38406,0.38602,0.38798,0.39015,0.3922,0.39443,0.39683,0.3996,0.40215,0.40525,0.40808,0.41149,0.41518,0.41931,0.42334,0.42808,0.43335,0.43895,0.44572,0.45372
0.062578,0.38387,0.38574,0.3876,0.38968,0.39163,0.39377,0.39606,0.39873,0.40119,0.40417,0.4069,0.4102,0.41377,0.41778,0.42168,0.42629,0.43141,0.43685,0.44345,0.45124
0.068836,0.38367,0.38544,0.3872,0.38919,0.39103,0.39309,0.39528,0.39785,0.4002,0.40308,0.40571,0.40889,0.41234,0.41622,0.42,0.42446,0.42943,0.43472,0.44113,0.44871
0.075094,0.38346,0.38514,0.3868,0.38869,0.39043,0.39239,0.39449,0.39695,0.39919,0.40196,0.40449,0.40755,0.41088,0.41463,0.41828,0.4226,0.42741,0.43254,0.43877,0.44615
0.081352,0.38325,0.38483,0.38639,0.38818,0.38983,0.39169,0.39368,0.39603,0.39817,0.40083,0.40324,0.40619,0.40939,0.41301,0.41653,0.4207,0.42536,0.43033,0.43637,0.44354
0.08761,0.38304,0.38452,0.38598,0.38766,0.38922,0.39097,0.39286,0.39509,0.39713,0.39968,0.40197,0.40481,0.40789,0.41136,0.41476,0.41878,0.42328,0.42808,0.43393,0.44089
0.093867,0.38283,0.3842,0.38556,0.38713,0.38859,0.39023,0.39202,0.39415,0.39608,0.3985,0.4007,0.4034,0.40636,0.4097,0.41296,0.41683,0.42117,0.42581,0.43147,0.43821
0.10013,0.38261,0.38388,0.38513,0.3866,0.38795,0.3895,0.39117,0.39319,0.39501,0.39732,0.3994,0.40199,0.40481,0.40801,0.41114,0.41486,0.41904,0.42351,0.42897,0.4355
0.10638,0.3824,0.38354,0.3847,0.38606,0.38731,0.38875,0.39032,0.39222,0.39394,0.39612,0.39809,0.40055,0.40325,0.40631,0.4093,0.41287,0.41689,0.42119,0.42646,0.43277
0.11264,0.38217,0.38321,0.38427,0.38552,0.38666,0.38799,0.38946,0.39124,0.39285,0.39491,0.39677,0.3991,0.40168,0.4046,0.40745,0.41087,0.41473,0.41886,0.42393,0.43002
0.1189,0.38195,0.38288,0.38383,0.38497,0.38601,0.38723,0.38859,0.39025,0.39175,0.39369,0.39544,0.39765,0.40009,0.40287,0.40559,0.40885,0.41255,0.41651,0.42139,0.42725
0.12516,0.38172,0.38254,0.38338,0.38442,0.38535,0.38646,0.38771,0.38926,0.39065,0.39247,0.3941,0.39618,0.3985,0.40114,0.40372,0.40683,0.41037,0.41416,0.41884,0.42448
0.13141,0.38149,0.3822,0.38293,0.38386,0.38468,0.38569,0.38683,0.38826,0.38954,0.39124,0.39275,0.39471,0.3969,0.3994,0.40184,0.4048,0.40818,0.4118,0.41629,0.42171
0.13767,0.38126,0.38186,0.38249,0.3833,0.38402,0.38492,0.38594,0.38726,0.38842,0.39001,0.3914,0.39324,0.39529,0.39765,0.39996,0.40277,0.40599,0.40944,0.41374,0.41895
0.14393,0.38103,0.38152,0.38204,0.38274,0.38335,0.38414,0.38505,0.38626,0.38731,0.38877,0.39005,0.39176,0.39369,0.39591,0.39808,0.40074,0.4038,0.40708,0.41119,0.41618
0.15019,0.3808,0.38118,0.38158,0.38218,0.38268,0.38336,0.38417,0.38525,0.38619,0.38754,0.3887,0.39028,0.39208,0.39416,0.39621,0.39871,0.40161,0.40473,0.40865,0.41343
0.15645,0.38056,0.38083,0.38113,0.38162,0.38201,0.38259,0.38328,0.38425,0.38508,0.3863,0.38735,0.38881,0.39048,0.39242,0.39433,0.39669,0.39943,0.40239,0.40613,0.4107
